2015-08-19 14:43:14,964 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@643b1d11: startup date [Wed Aug 19 14:43:14 GMT+01:00 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-08-19 14:43:15,825 | INFO  | PListStore:[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-08-19 14:43:15,851 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:43:16,081 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-34938-1439991795959-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:43:16,106 | INFO  | Listening for connections at: tcp://lnz123701n02:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:43:16,109 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:43:16,119 | INFO  | Listening for connections at: amqp://lnz123701n02:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:43:16,122 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:43:16,127 | INFO  | Listening for connections at: stomp://lnz123701n02:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:43:16,130 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:43:16,135 | INFO  | Listening for connections at: mqtt://lnz123701n02:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:43:16,142 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:43:16,290 | INFO  | Listening for connections at ws://lnz123701n02:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
